English,Maths,Science,School,Area
50.9,53.2,48.4,Eastway Primary School,Moreton
56.3,50.4,54.9,Eastway Primary School,Moreton
47.9,70.2,87.1,Eastway Primary School,Moreton
85.1,45.0,27.4,Eastway Primary School,Moreton
52.5,63.1,67.0,Eastway Primary School,Moreton
51.4,35.2,38.2,Eastway Primary School,Moreton
50.8,60.8,36.3,Eastway Primary School,Moreton
91.9,67.2,71.3,Eastway Primary School,Moreton
62.0,55.6,36.8,Eastway Primary School,Moreton
66.6,43.5,77.8,Eastway Primary School,Moreton
52.2,76.5,-5.9,Eastway Primary School,Moreton
53.3,71.8,52.4,Eastway Primary School,Moreton
62.1,54.9,51.4,Eastway Primary School,Moreton
53.6,67.7,75.9,Eastway Primary School,Moreton
45.3,42.3,81.8,Eastway Primary School,Moreton
54.8,39.8,60.1,Eastway Primary School,Moreton
79.7,45.7,65.9,Eastway Primary School,Moreton
59.5,54.1,55.7,Eastway Primary School,Moreton
45.3,74.9,44.2,Eastway Primary School,Moreton
54.3,48.0,63.3,Eastway Primary School,Moreton
58.0,58.4,41.4,Eastway Primary School,Moreton
55.1,79.7,54.8,Eastway Primary School,Moreton
45.3,52.4,23.7,Eastway Primary School,Moreton
50.4,49.4,82.6,Eastway Primary School,Moreton
44.8,44.6,72.1,Eastway Primary School,Moreton
72.6,67.2,26.2,Eastway Primary School,Moreton
66.7,38.5,61.3,Eastway Primary School,Moreton
57.1,71.1,58.1,Eastway Primary School,Moreton
45.9,42.9,51.4,Eastway Primary School,Moreton
65.0,77.7,66.1,Eastway Primary School,Moreton
67.0,68.6,68.1,Eastway Primary School,Moreton
75.8,47.9,80.2,Eastway Primary School,Moreton
52.5,54.5,84.4,Eastway Primary School,Moreton
65.3,57.2,60.5,Eastway Primary School,Moreton
60.1,52.0,44.3,Eastway Primary School,Moreton
39.3,58.4,59.8,Eastway Primary School,Moreton
59.6,48.1,86.9,Eastway Primary School,Moreton
42.2,43.8,15.7,Eastway Primary School,Moreton
43.4,81.8,18.9,Eastway Primary School,Moreton
43.2,66.9,73.5,Eastway Primary School,Moreton
50.0,63.8,61.1,Eastway Primary School,Moreton
53.2,39.7,88.9,Eastway Primary School,Moreton
55.3,80.1,75.3,Eaves Primary School,St Helens
41.2,36.4,58.9,Eaves Primary School,St Helens
52.2,86.0,61.5,Eaves Primary School,St Helens
56.8,41.8,71.7,Eaves Primary School,St Helens
80.8,57.2,62.9,Eaves Primary School,St Helens
62.4,0.0,78.7,Eaves Primary School,St Helens
44.1,49.5,21.3,Eaves Primary School,St Helens
35.1,50.6,0.0,Eaves Primary School,St Helens
43.9,48.0,48.9,Eaves Primary School,St Helens
68.3,58.3,79.9,Eaves Primary School,St Helens
52.8,53.5,68.3,Eaves Primary School,St Helens
57.7,83.2,62.3,Eaves Primary School,St Helens
55.8,63.3,40.2,Eaves Primary School,St Helens
43.1,59.7,56.7,Eaves Primary School,St Helens
66.2,59.9,72.0,Eaves Primary School,St Helens
68.8,37.7,81.3,Eaves Primary School,St Helens
68.4,72.8,53.3,Eaves Primary School,St Helens
59.8,59.4,77.9,Eaves Primary School,St Helens
32.0,49.1,45.0,Eaves Primary School,St Helens
56.6,61.4,43.3,Eaves Primary School,St Helens
64.1,30.1,57.7,Eaves Primary School,St Helens
88.9,37.7,51.0,Eaves Primary School,St Helens
61.6,29.2,74.0,Eaves Primary School,St Helens
75.9,20.9,47.9,Eaves Primary School,St Helens
72.0,61.5,34.3,Eaves Primary School,St Helens
33.1,44.5,90.8,Eaves Primary School,St Helens
56.5,50.8,10.3,Eaves Primary School,St Helens
53.2,65.6,73.2,Eaves Primary School,St Helens
48.3,41.8,41.1,Eaves Primary School,St Helens
28.2,69.0,31.5,Eaves Primary School,St Helens
33.3,49.6,57.7,Eaves Primary School,St Helens
56.5,32.1,40.1,Eaves Primary School,St Helens
51.6,35.0,28.1,Eaves Primary School,St Helens
53.9,81.1,61.5,Eaves Primary School,St Helens
47.5,8.3,65.2,Eaves Primary School,St Helens
41.7,32.7,44.2,Eaves Primary School,St Helens
67.7,82.4,55.6,Eaves Primary School,St Helens
50.1,45.9,48.6,Eaves Primary School,St Helens
40.9,58.6,83.2,Eaves Primary School,St Helens
87.2,72.2,87.0,Eaves Primary School,St Helens
41.7,80.5,42.4,Eaves Primary School,St Helens
40.3,99.3,47.8,Eaves Primary School,St Helens
42.8,26.7,55.9,Eaves Primary School,St Helens
49.8,60.9,86.4,Eaves Primary School,St Helens
65.9,58.1,67.0,Eaves Primary School,St Helens
62.6,50.9,80.9,Eccleston Lane Ends Primary School,Prescot
46.0,63.7,60.7,Eccleston Lane Ends Primary School,Prescot
41.2,46.0,77.8,Eccleston Lane Ends Primary School,Prescot
40.1,61.0,71.1,Eccleston Lane Ends Primary School,Prescot
58.3,74.3,68.0,Eccleston Lane Ends Primary School,Prescot
51.1,68.0,56.4,Eccleston Lane Ends Primary School,Prescot
89.3,81.8,57.3,Eccleston Lane Ends Primary School,Prescot
43.5,61.0,72.1,Eccleston Lane Ends Primary School,Prescot
53.2,65.2,55.1,Eccleston Lane Ends Primary School,Prescot
55.8,65.9,63.5,Eccleston Lane Ends Primary School,Prescot
66.2,67.8,76.5,Eccleston Lane Ends Primary School,Prescot
74.3,63.7,62.0,Eccleston Lane Ends Primary School,Prescot
69.5,65.4,60.5,Eccleston Lane Ends Primary School,Prescot
56.6,52.0,56.3,Eccleston Lane Ends Primary School,Prescot
62.5,57.2,82.4,Eccleston Lane Ends Primary School,Prescot
67.3,66.4,48.8,Eccleston Lane Ends Primary School,Prescot
44.1,58.3,50.1,Eccleston Lane Ends Primary School,Prescot
67.5,75.4,51.3,Eccleston Lane Ends Primary School,Prescot
45.3,75.8,56.5,Eccleston Lane Ends Primary School,Prescot
70.6,42.4,56.7,Eccleston Lane Ends Primary School,Prescot
84.6,82.2,66.2,Eccleston Lane Ends Primary School,Prescot
28.7,57.5,72.5,Eccleston Lane Ends Primary School,Prescot
67.9,46.2,57.0,Eccleston Lane Ends Primary School,Prescot
31.9,42.2,82.2,Eccleston Lane Ends Primary School,Prescot
41.6,89.1,56.3,Eccleston Lane Ends Primary School,Prescot
65.8,68.9,85.6,Eccleston Lane Ends Primary School,Prescot
9.5,78.3,43.7,Eccleston Lane Ends Primary School,Prescot
57.2,49.1,69.4,Eccleston Lane Ends Primary School,Prescot
45.3,65.6,71.8,Eccleston Lane Ends Primary School,Prescot
89.5,56.3,44.0,Eccleston Lane Ends Primary School,Prescot
48.9,49.6,88.4,Eccleston Lane Ends Primary School,Prescot
80.3,62.7,51.4,Eccleston Lane Ends Primary School,Prescot
90.3,78.8,40.8,Eccleston Lane Ends Primary School,Prescot
57.2,51.5,74.9,Eccleston Lane Ends Primary School,Prescot
63.3,69.7,56.0,Eccleston Lane Ends Primary School,Prescot
56.2,45.3,62.9,Eccleston Lane Ends Primary School,Prescot
42.4,57.0,52.4,Eccleston Lane Ends Primary School,Prescot
58.3,49.0,60.1,Eccleston Lane Ends Primary School,Prescot
61.4,56.0,84.9,Eccleston Lane Ends Primary School,Prescot
34.5,59.6,67.4,Eccleston Mere Primary School,Eccleston
56.5,44.9,67.7,Eccleston Mere Primary School,Eccleston
38.9,57.2,60.1,Eccleston Mere Primary School,Eccleston
76.4,38.3,68.3,Eccleston Mere Primary School,Eccleston
71.2,38.3,65.5,Eccleston Mere Primary School,Eccleston
55.6,69.5,54.8,Eccleston Mere Primary School,Eccleston
80.4,60.6,51.9,Eccleston Mere Primary School,Eccleston
45.4,68.0,70.3,Eccleston Mere Primary School,Eccleston
99.2,57.0,70.1,Eccleston Mere Primary School,Eccleston
58.2,59.6,52.6,Eccleston Mere Primary School,Eccleston
44.5,65.1,61.4,Eccleston Mere Primary School,Eccleston
62.5,53.1,54.3,Eccleston Mere Primary School,Eccleston
58.1,60.6,47.9,Eccleston Mere Primary School,Eccleston
51.2,59.2,67.9,Eccleston Mere Primary School,Eccleston
66.2,55.4,63.4,Eccleston Mere Primary School,Eccleston
75.8,51.4,82.9,Eccleston Mere Primary School,Eccleston
30.3,69.8,63.0,Eccleston Mere Primary School,Eccleston
73.1,76.6,58.0,Eccleston Mere Primary School,Eccleston
73.3,52.6,45.9,Eccleston Mere Primary School,Eccleston
54.3,35.8,89.8,Eccleston Mere Primary School,Eccleston
71.5,64.0,61.4,Eccleston Mere Primary School,Eccleston
48.9,54.4,69.8,Eccleston Mere Primary School,Eccleston
55.3,50.1,80.1,Eccleston Mere Primary School,Eccleston
89.0,52.4,63.5,Eccleston Mere Primary School,Eccleston
79.6,32.8,69.7,Eccleston Mere Primary School,Eccleston
59.4,58.2,61.1,Eccleston Mere Primary School,Eccleston
83.7,66.3,62.9,Eccleston Mere Primary School,Eccleston
68.0,54.0,45.9,Eccleston Mere Primary School,Eccleston
70.6,83.4,51.9,Eccleston Mere Primary School,Eccleston
68.0,55.2,64.4,Eccleston Mere Primary School,Eccleston
90.9,55.5,68.8,Eccleston Mere Primary School,Eccleston
73.7,59.2,49.9,Eccleston Mere Primary School,Eccleston
56.4,70.6,75.2,Eccleston Mere Primary School,Eccleston
67.0,59.4,71.9,Eccleston Mere Primary School,Eccleston
77.3,57.8,59.8,Eccleston Mere Primary School,Eccleston
61.8,73.4,55.0,Egremont Primary School,Egremont
56.1,54.7,37.5,Egremont Primary School,Egremont
72.3,37.1,77.5,Egremont Primary School,Egremont
68.2,61.3,47.7,Egremont Primary School,Egremont
68.6,34.6,56.0,Egremont Primary School,Egremont
60.9,67.3,86.8,Egremont Primary School,Egremont
63.9,29.8,85.7,Egremont Primary School,Egremont
61.7,36.1,57.0,Egremont Primary School,Egremont
60.1,49.0,89.4,Egremont Primary School,Egremont
60.5,57.4,55.5,Egremont Primary School,Egremont
57.7,77.1,39.1,Egremont Primary School,Egremont
44.1,37.1,52.5,Egremont Primary School,Egremont
53.8,72.8,62.4,Egremont Primary School,Egremont
63.9,93.5,49.7,Egremont Primary School,Egremont
61.5,61.5,36.3,Egremont Primary School,Egremont
56.3,45.7,79.8,Egremont Primary School,Egremont
73.5,36.4,42.3,Egremont Primary School,Egremont
57.4,0.0,63.9,Egremont Primary School,Egremont
48.7,60.0,56.2,Egremont Primary School,Egremont
60.3,45.5,77.9,Egremont Primary School,Egremont
61.6,45.8,70.9,Egremont Primary School,Egremont
83.0,72.8,58.6,Egremont Primary School,Egremont
41.0,63.2,42.6,Egremont Primary School,Egremont
61.5,37.3,54.4,Egremont Primary School,Egremont
59.4,78.7,60.4,Egremont Primary School,Egremont
66.9,0.0,53.1,Egremont Primary School,Egremont
62.3,46.2,51.0,Egremont Primary School,Egremont
63.1,68.1,47.8,Egremont Primary School,Egremont
62.0,40.2,69.3,Egremont Primary School,Egremont
59.1,29.4,62.3,Egremont Primary School,Egremont
70.7,42.7,81.9,Egremont Primary School,Egremont
54.8,31.4,68.6,Egremont Primary School,Egremont
64.3,74.4,69.6,Egremont Primary School,Egremont
41.3,80.1,72.8,Egremont Primary School,Egremont
71.6,55.5,86.6,Egremont Primary School,Egremont
56.6,94.9,67.7,Egremont Primary School,Egremont
51.6,59.7,86.3,Egremont Primary School,Egremont
65.7,34.4,57.2,Egremont Primary School,Egremont
62.6,53.1,65.1,Emmaus Primary School,Croxteth Park
70.4,96.1,51.9,Emmaus Primary School,Croxteth Park
72.2,70.5,27.4,Emmaus Primary School,Croxteth Park
62.5,44.0,40.1,Emmaus Primary School,Croxteth Park
55.4,75.1,79.1,Emmaus Primary School,Croxteth Park
39.3,45.3,43.6,Emmaus Primary School,Croxteth Park
41.6,62.2,47.8,Emmaus Primary School,Croxteth Park
78.0,59.9,45.0,Emmaus Primary School,Croxteth Park
48.2,46.3,64.4,Emmaus Primary School,Croxteth Park
70.8,70.0,48.1,Emmaus Primary School,Croxteth Park
57.9,81.2,66.8,Emmaus Primary School,Croxteth Park
71.6,55.7,60.1,Emmaus Primary School,Croxteth Park
60.2,84.0,53.3,Emmaus Primary School,Croxteth Park
56.9,50.8,63.9,Emmaus Primary School,Croxteth Park
71.7,60.0,68.4,Emmaus Primary School,Croxteth Park
58.6,30.6,86.0,Emmaus Primary School,Croxteth Park
54.3,51.4,88.4,Emmaus Primary School,Croxteth Park
69.1,60.2,55.4,Emmaus Primary School,Croxteth Park
53.6,56.0,79.3,Emmaus Primary School,Croxteth Park
46.5,63.6,58.1,Emmaus Primary School,Croxteth Park
46.3,45.6,40.0,Emmaus Primary School,Croxteth Park
56.6,68.3,72.5,Emmaus Primary School,Croxteth Park
57.8,21.1,59.4,Emmaus Primary School,Croxteth Park
77.6,56.8,45.6,Emmaus Primary School,Croxteth Park
70.8,89.0,54.7,Emmaus Primary School,Croxteth Park
54.0,66.1,69.0,Emmaus Primary School,Croxteth Park
67.2,57.3,59.3,Emmaus Primary School,Croxteth Park
61.0,50.7,62.7,Emmaus Primary School,Croxteth Park
58.7,86.0,56.7,Emmaus Primary School,Croxteth Park
70.1,72.6,70.2,Emmaus Primary School,Croxteth Park
55.2,55.3,64.1,Emmaus Primary School,Croxteth Park
28.7,63.9,54.9,Emmaus Primary School,Croxteth Park
57.9,62.3,62.5,Emmaus Primary School,Croxteth Park
66.4,81.0,69.4,Emmaus Primary School,Croxteth Park
61.4,71.0,56.9,Emmaus Primary School,Croxteth Park
58.1,37.4,67.6,Emmaus Primary School,Croxteth Park
84.4,70.0,49.2,Emmaus Primary School,Croxteth Park
89.8,44.0,60.5,Emmaus Primary School,Croxteth Park
64.0,55.1,41.7,Emmaus Primary School,Croxteth Park
96.0,42.9,50.1,English Martyr's Catholic Primary School,Litherland
63.0,58.6,61.5,English Martyr's Catholic Primary School,Litherland
48.6,70.8,97.3,English Martyr's Catholic Primary School,Litherland
69.7,92.4,70.8,English Martyr's Catholic Primary School,Litherland
68.1,73.8,99.0,English Martyr's Catholic Primary School,Litherland
68.0,0.0,51.6,English Martyr's Catholic Primary School,Litherland
66.5,66.2,30.0,English Martyr's Catholic Primary School,Litherland
69.6,53.0,82.2,English Martyr's Catholic Primary School,Litherland
90.1,57.4,85.9,English Martyr's Catholic Primary School,Litherland
39.3,53.4,87.1,English Martyr's Catholic Primary School,Litherland
58.2,68.1,70.7,English Martyr's Catholic Primary School,Litherland
80.9,58.6,63.4,English Martyr's Catholic Primary School,Litherland
65.2,66.2,52.5,English Martyr's Catholic Primary School,Litherland
63.8,73.6,76.6,English Martyr's Catholic Primary School,Litherland
62.1,46.1,72.1,English Martyr's Catholic Primary School,Litherland
77.0,73.9,55.6,English Martyr's Catholic Primary School,Litherland
56.0,54.5,76.6,English Martyr's Catholic Primary School,Litherland
82.6,78.8,68.7,English Martyr's Catholic Primary School,Litherland
63.1,89.2,53.6,English Martyr's Catholic Primary School,Litherland
60.0,76.4,64.2,English Martyr's Catholic Primary School,Litherland
75.1,58.9,53.1,English Martyr's Catholic Primary School,Litherland
56.9,70.0,64.5,English Martyr's Catholic Primary School,Litherland
61.5,68.9,86.8,English Martyr's Catholic Primary School,Litherland
59.8,70.4,63.8,English Martyr's Catholic Primary School,Litherland
36.0,76.8,68.4,English Martyr's Catholic Primary School,Litherland
65.7,46.7,57.6,English Martyr's Catholic Primary School,Litherland
66.8,73.6,61.7,English Martyr's Catholic Primary School,Litherland
42.7,46.4,62.7,English Martyr's Catholic Primary School,Litherland
66.7,73.6,61.0,English Martyr's Catholic Primary School,Litherland
87.8,81.7,84.2,English Martyr's Catholic Primary School,Litherland
70.4,75.8,35.1,English Martyr's Catholic Primary School,Litherland
97.5,59.4,54.2,English Martyr's Catholic Primary School,Litherland
63.2,61.1,60.9,English Martyrs Catholic Primary School,Haydock
45.6,72.5,67.5,English Martyrs Catholic Primary School,Haydock
82.7,54.4,94.5,English Martyrs Catholic Primary School,Haydock
73.3,70.1,50.1,English Martyrs Catholic Primary School,Haydock
58.8,70.9,43.0,English Martyrs Catholic Primary School,Haydock
90.4,66.7,52.3,English Martyrs Catholic Primary School,Haydock
63.5,60.1,66.0,English Martyrs Catholic Primary School,Haydock
41.0,55.4,63.6,English Martyrs Catholic Primary School,Haydock
56.5,80.3,65.5,English Martyrs Catholic Primary School,Haydock
46.3,78.1,51.3,English Martyrs Catholic Primary School,Haydock
47.5,79.0,37.8,English Martyrs Catholic Primary School,Haydock
0.0,57.7,76.4,English Martyrs Catholic Primary School,Haydock
76.2,53.3,70.4,English Martyrs Catholic Primary School,Haydock
73.4,61.0,79.0,English Martyrs Catholic Primary School,Haydock
67.7,50.3,83.8,English Martyrs Catholic Primary School,Haydock
64.7,42.3,57.6,English Martyrs Catholic Primary School,Haydock
77.5,72.4,43.5,English Martyrs Catholic Primary School,Haydock
53.0,57.3,63.0,English Martyrs Catholic Primary School,Haydock
74.5,47.0,55.0,English Martyrs Catholic Primary School,Haydock
74.3,50.1,56.7,English Martyrs Catholic Primary School,Haydock
47.0,56.2,52.6,English Martyrs Catholic Primary School,Haydock
68.4,57.7,38.0,English Martyrs Catholic Primary School,Haydock
45.6,49.3,68.0,English Martyrs Catholic Primary School,Haydock
51.4,55.7,78.3,English Martyrs Catholic Primary School,Haydock
79.9,82.3,43.5,English Martyrs Catholic Primary School,Haydock
65.4,70.7,81.0,English Martyrs Catholic Primary School,Haydock
69.4,54.2,61.1,English Martyrs Catholic Primary School,Haydock
79.1,73.3,53.5,English Martyrs Catholic Primary School,Haydock
60.8,61.8,70.8,English Martyrs Catholic Primary School,Haydock
75.2,71.1,79.0,English Martyrs Catholic Primary School,Haydock
67.0,52.7,59.0,English Martyrs Catholic Primary School,Haydock
69.4,72.5,49.5,English Martyrs Catholic Primary School,Haydock
31.2,79.8,62.0,English Martyrs Catholic Primary School,Haydock
53.2,56.4,52.5,English Martyrs Catholic Primary School,Haydock
51.8,50.3,67.7,English Martyrs Catholic Primary School,Haydock
42.5,61.1,66.7,English Martyrs Catholic Primary School,Haydock
66.9,77.5,54.4,Evelyn Primary School,Prescot
73.6,98.4,84.3,Evelyn Primary School,Prescot
47.4,70.0,68.3,Evelyn Primary School,Prescot
63.9,72.9,48.1,Evelyn Primary School,Prescot
53.0,49.2,49.9,Evelyn Primary School,Prescot
77.1,61.0,52.1,Evelyn Primary School,Prescot
38.3,0.0,72.2,Evelyn Primary School,Prescot
58.7,77.6,73.7,Evelyn Primary School,Prescot
59.9,38.4,51.0,Evelyn Primary School,Prescot
53.6,55.4,46.4,Evelyn Primary School,Prescot
67.1,48.0,54.2,Evelyn Primary School,Prescot
76.5,33.3,74.7,Evelyn Primary School,Prescot
60.7,89.4,65.0,Evelyn Primary School,Prescot
60.0,76.4,48.3,Evelyn Primary School,Prescot
51.8,74.0,48.8,Evelyn Primary School,Prescot
73.6,60.0,59.5,Evelyn Primary School,Prescot
50.4,72.6,57.6,Evelyn Primary School,Prescot
53.6,88.1,47.1,Evelyn Primary School,Prescot
71.5,85.4,55.6,Evelyn Primary School,Prescot
61.3,57.2,51.1,Evelyn Primary School,Prescot
76.6,42.2,71.0,Evelyn Primary School,Prescot
63.3,83.2,52.2,Evelyn Primary School,Prescot
40.9,76.6,61.6,Evelyn Primary School,Prescot
35.7,54.9,77.9,Evelyn Primary School,Prescot
68.2,77.4,60.5,Evelyn Primary School,Prescot
63.1,42.6,66.9,Evelyn Primary School,Prescot
45.5,59.0,67.2,Evelyn Primary School,Prescot
67.6,69.5,60.7,Evelyn Primary School,Prescot
47.0,58.1,56.2,Evelyn Primary School,Prescot
54.8,41.7,64.7,Evelyn Primary School,Prescot
77.7,45.3,64.3,Evelyn Primary School,Prescot
87.7,66.8,77.0,Evelyn Primary School,Prescot
47.4,77.6,59.6,Evelyn Primary School,Prescot
46.0,71.6,37.5,Evelyn Primary School,Prescot
66.3,57.8,53.0,Evelyn Primary School,Prescot
64.5,59.1,59.6,Evelyn Primary School,Prescot
57.4,31.5,73.9,Evelyn Primary School,Prescot
59.4,63.2,49.6,Evelyn Primary School,Prescot
45.1,39.0,58.8,Faith Primary School,Liverpool
54.0,50.1,61.5,Faith Primary School,Liverpool
42.7,50.4,50.2,Faith Primary School,Liverpool
66.9,65.1,57.3,Faith Primary School,Liverpool
83.3,57.0,42.5,Faith Primary School,Liverpool
53.2,57.8,81.6,Faith Primary School,Liverpool
51.1,49.6,46.4,Faith Primary School,Liverpool
56.5,71.6,64.3,Faith Primary School,Liverpool
61.5,53.6,27.5,Faith Primary School,Liverpool
51.2,65.3,51.4,Faith Primary School,Liverpool
34.4,50.0,57.6,Faith Primary School,Liverpool
50.3,58.9,70.9,Faith Primary School,Liverpool
61.6,29.9,36.1,Faith Primary School,Liverpool
66.0,54.4,32.1,Faith Primary School,Liverpool
77.6,33.1,70.9,Faith Primary School,Liverpool
60.2,56.8,66.5,Faith Primary School,Liverpool
46.9,44.5,28.8,Faith Primary School,Liverpool
63.8,61.2,39.8,Faith Primary School,Liverpool
57.7,61.6,52.3,Faith Primary School,Liverpool
61.2,54.3,70.9,Faith Primary School,Liverpool
56.9,78.5,27.8,Faith Primary School,Liverpool
53.5,56.7,50.5,Faith Primary School,Liverpool
25.7,58.2,46.3,Faith Primary School,Liverpool
40.0,36.4,61.3,Faith Primary School,Liverpool
32.4,69.0,12.4,Faith Primary School,Liverpool
61.4,68.2,42.7,Faith Primary School,Liverpool
32.1,53.6,36.4,Faith Primary School,Liverpool
62.9,43.9,43.0,Faith Primary School,Liverpool
61.4,56.1,58.5,Faith Primary School,Liverpool
46.9,50.3,55.4,Faith Primary School,Liverpool
40.9,69.1,75.1,Faith Primary School,Liverpool
46.6,35.4,53.6,Faith Primary School,Liverpool
62.5,59.3,69.1,Faith Primary School,Liverpool
58.5,61.9,53.3,Faith Primary School,Liverpool
52.1,30.0,58.8,Faith Primary School,Liverpool
39.3,50.7,29.8,Faith Primary School,Liverpool
48.3,69.5,51.2,Faith Primary School,Liverpool
51.5,30.5,60.5,Faith Primary School,Liverpool
60.3,8.4,67.6,Faith Primary School,Liverpool
39.5,58.5,60.9,Faith Primary School,Liverpool
55.3,45.3,39.4,Faith Primary School,Liverpool
57.3,67.0,13.5,Faith Primary School,Liverpool
35.4,57.1,48.7,Faith Primary School,Liverpool
64.6,27.8,48.5,Faith Primary School,Liverpool
45.6,79.5,47.7,Faith Primary School,Liverpool
58.9,54.0,47.8,Faith Primary School,Liverpool
46.9,70.4,36.9,Faith Primary School,Liverpool
41.5,15.0,71.4,Faith Primary School,Liverpool
56.2,41.1,47.5,Faith Primary School,Liverpool
93.1,-2.7,62.0,Farnborough Road Infant School,Birkdale
80.4,56.8,59.0,Farnborough Road Infant School,Birkdale
33.6,73.7,42.6,Farnborough Road Infant School,Birkdale
100.0,70.6,64.3,Farnborough Road Infant School,Birkdale
81.0,41.9,42.2,Farnborough Road Infant School,Birkdale
58.2,57.7,96.8,Farnborough Road Infant School,Birkdale
75.6,73.8,68.8,Farnborough Road Infant School,Birkdale
68.0,73.7,66.0,Farnborough Road Infant School,Birkdale
43.4,86.1,67.7,Farnborough Road Infant School,Birkdale
68.4,50.6,65.1,Farnborough Road Infant School,Birkdale
67.3,55.8,63.3,Farnborough Road Infant School,Birkdale
51.4,26.4,69.7,Farnborough Road Infant School,Birkdale
43.4,64.6,57.8,Farnborough Road Infant School,Birkdale
46.0,77.3,69.5,Farnborough Road Infant School,Birkdale
66.9,71.4,53.9,Farnborough Road Infant School,Birkdale
52.6,37.9,67.8,Farnborough Road Infant School,Birkdale
50.0,62.6,69.5,Farnborough Road Infant School,Birkdale
62.9,65.5,64.1,Farnborough Road Infant School,Birkdale
36.5,52.7,69.0,Farnborough Road Infant School,Birkdale
77.5,56.8,79.7,Farnborough Road Infant School,Birkdale
59.1,46.6,26.4,Farnborough Road Infant School,Birkdale
89.5,52.3,60.7,Farnborough Road Infant School,Birkdale
77.6,58.9,51.2,Farnborough Road Infant School,Birkdale
43.4,62.7,66.4,Farnborough Road Infant School,Birkdale
43.7,44.0,48.8,Farnborough Road Infant School,Birkdale
53.7,38.6,38.3,Farnborough Road Infant School,Birkdale
56.6,94.7,51.7,Farnborough Road Infant School,Birkdale
40.6,30.6,44.9,Farnborough Road Infant School,Birkdale
99.1,62.8,49.1,Farnborough Road Infant School,Birkdale
54.1,53.4,61.8,Farnborough Road Infant School,Birkdale
53.0,41.0,66.9,Farnborough Road Infant School,Birkdale
70.6,58.9,80.7,Farnborough Road Infant School,Birkdale
81.1,61.0,55.8,Farnborough Road Infant School,Birkdale
42.4,55.5,56.7,Farnborough Road Infant School,Birkdale
57.8,82.8,79.1,Farnborough Road Infant School,Birkdale
67.0,0.0,58.2,Farnborough Road Infant School,Birkdale
59.7,35.2,50.0,Farnborough Road Infant School,Birkdale
52.2,62.9,57.4,Farnborough Road Infant School,Birkdale
37.4,50.2,52.2,Farnborough Road Junior School,Birkdale
63.1,49.0,33.7,Farnborough Road Junior School,Birkdale
60.6,84.5,51.9,Farnborough Road Junior School,Birkdale
43.8,44.8,35.2,Farnborough Road Junior School,Birkdale
60.9,71.0,57.2,Farnborough Road Junior School,Birkdale
87.8,49.9,73.5,Farnborough Road Junior School,Birkdale
72.6,62.5,62.9,Farnborough Road Junior School,Birkdale
32.8,45.5,52.0,Farnborough Road Junior School,Birkdale
43.8,62.7,41.8,Farnborough Road Junior School,Birkdale
38.6,55.3,56.4,Farnborough Road Junior School,Birkdale
51.2,86.7,54.7,Farnborough Road Junior School,Birkdale
79.5,60.0,51.0,Farnborough Road Junior School,Birkdale
74.6,60.4,65.4,Farnborough Road Junior School,Birkdale
65.6,38.6,55.1,Farnborough Road Junior School,Birkdale
36.4,29.8,50.6,Farnborough Road Junior School,Birkdale
56.8,87.5,64.8,Farnborough Road Junior School,Birkdale
34.9,37.1,56.7,Farnborough Road Junior School,Birkdale
62.3,55.1,65.4,Farnborough Road Junior School,Birkdale
30.7,49.9,64.3,Farnborough Road Junior School,Birkdale
16.9,59.9,55.2,Farnborough Road Junior School,Birkdale
63.7,49.1,62.6,Farnborough Road Junior School,Birkdale
49.0,64.7,56.5,Farnborough Road Junior School,Birkdale
57.4,66.9,49.2,Farnborough Road Junior School,Birkdale
76.3,55.0,35.6,Farnborough Road Junior School,Birkdale
66.5,48.1,72.3,Farnborough Road Junior School,Birkdale
69.3,45.1,47.9,Farnborough Road Junior School,Birkdale
81.9,73.2,72.5,Farnborough Road Junior School,Birkdale
69.5,63.3,54.3,Farnborough Road Junior School,Birkdale
55.5,46.5,67.9,Farnborough Road Junior School,Birkdale
95.3,58.7,29.8,Farnborough Road Junior School,Birkdale
62.8,42.6,51.8,Farnborough Road Junior School,Birkdale
86.7,55.0,74.8,Farnborough Road Junior School,Birkdale
73.9,69.5,41.1,Farnborough Road Junior School,Birkdale
58.9,87.5,50.2,Farnborough Road Junior School,Birkdale
43.3,49.8,59.0,Farnborough Road Junior School,Birkdale
24.1,42.6,69.3,Farnborough Road Junior School,Birkdale
46.6,56.8,34.5,Farnborough Road Junior School,Birkdale
80.1,60.8,44.5,Farnborough Road Junior School,Birkdale
64.0,54.0,59.6,Farnborough Road Junior School,Birkdale
52.5,56.9,63.8,Farnborough Road Junior School,Birkdale
71.5,70.8,47.6,Fazakerley Primary School,Liverpool
84.8,70.0,0.0,Fazakerley Primary School,Liverpool
66.6,60.7,64.0,Fazakerley Primary School,Liverpool
73.9,48.2,88.8,Fazakerley Primary School,Liverpool
75.0,74.2,59.1,Fazakerley Primary School,Liverpool
0.0,96.8,78.8,Fazakerley Primary School,Liverpool
58.3,41.7,42.0,Fazakerley Primary School,Liverpool
91.7,61.9,81.5,Fazakerley Primary School,Liverpool
66.4,70.9,81.2,Fazakerley Primary School,Liverpool
57.5,52.3,81.1,Fazakerley Primary School,Liverpool
79.0,68.0,42.9,Fazakerley Primary School,Liverpool
58.2,45.6,0.0,Fazakerley Primary School,Liverpool
